#Please import the downloaded file into Excel 2007 or above version
Family	Family_type	Sequence_Acc	Domains	Sequence_Annotation
WRKY	transcription factor	Potra2n6c12967.1	IPR003657	protein AED:0.35 eAED:0.35 QI:0|0|0|1|0.75|0.8|5|0|473
AP2-EREBP	transcription factor	Potra2n6c13071.1	IPR001471	protein AED:0.06 eAED:0.06 QI:396|1|1|1|1|1|2|790|206
FAR	transcription factor	Potra2n6c13045.1	IPR004330,IPR006564	protein AED:0.08 eAED:0.08 QI:400|1|1|1|0|0.5|2|304|670
AUX-IAA	transcription factor interactor and regulator	Potra2n6c13057.1	IPR011525	protein AED:0.09 eAED:0.09 QI:389|1|1|1|1|1|4|573|230
WD40-like	transcription factor	Potra2n9c19106.1	IPR001680,IPR017986,IPR019775	protein AED:0.31 eAED:0.33 QI:384|0.5|0.66|1|0.87|0.77|9|0|419
Tesmin	putative novel transcription factor	Potra2n6c13093.1	IPR005172	protein AED:0.05 eAED:0.04 QI:192|0.90|0.91|1|0.90|0.91|12|686|936
Hap3/NF-YB	transcription factor	Potra2n6c13110.1	IPR009072	protein AED:0.15 eAED:0.15 QI:129|0.75|0.8|1|0.75|0.6|5|3308|174
Hap3/NF-YB	transcription factor	Potra2n6c13110.2	IPR009072	protein AED:0.16 eAED:0.16 QI:129|1|1|1|0.5|0.33|3|3308|134
Hap3/NF-YB	transcription factor	Potra2n6c13110.3	IPR009072	protein AED:0.14 eAED:0.14 QI:295|1|1|1|1|1|2|3308|134
WD40-like	transcription factor	Potra2n6c13102.1	IPR001680,IPR017986,IPR019775	protein AED:0.29 eAED:0.29 QI:400|1|1|1|1|1|10|263|308
PHD	chromatin regulator	Potra2n6c13086.1	IPR001841,IPR001965	protein AED:0.14 eAED:0.14 QI:321|0.92|0.93|1|0.85|0.8|15|331|1089
PHD	chromatin regulator	Potra2n6c13086.2	IPR001841,IPR001965	protein AED:0.14 eAED:0.14 QI:321|0.92|0.93|1|0.92|0.86|15|331|1075
PHD	chromatin regulator	Potra2n6c13086.3	IPR001841,IPR001965	protein AED:0.12 eAED:0.12 QI:321|0.92|0.92|1|0.92|0.92|14|473|1089
Homobox-WOX	transcription factor	Potra2n6c13089.1	IPR001356,IPR009057	protein AED:0.23 eAED:0.23 QI:115|1|0.83|1|0.6|0.66|6|556|380
Homobox-WOX	transcription factor	Potra2n6c13089.2	IPR001356,IPR009057	protein AED:0.21 eAED:0.21 QI:115|1|0.8|1|0.75|0.8|5|735|380
bZIP	transcription factor	Potra2n6c13087.1	IPR004827,IPR011616,IPR011700	protein AED:0.24 eAED:0.24 QI:255|1|1|1|1|1|4|806|169
C2H2	transcription factor	Potra2n6c13131.1	IPR001841,IPR018957	protein AED:0.00 eAED:0.00 QI:958|1|1|1|0.6|0.5|6|693|456
C2H2	transcription factor	Potra2n6c13131.2	IPR001841,IPR018957	protein AED:0.04 eAED:0.04 QI:776|1|1|1|0.2|0.33|6|693|429
C2H2	transcription factor	Potra2n6c13131.3	IPR001841,IPR018957	protein AED:0.01 eAED:0.01 QI:958|1|1|1|0.25|0.4|5|693|429
LisH	transcription factor interactor and regulator	Potra2n6c13122.1	IPR001680,IPR006594,IPR013720,IPR017986,IPR019775	protein AED:0.19 eAED:0.22 QI:0|0.63|0.6|0.95|1|1|20|1260|952
WD40-like	transcription factor	Potra2n6c13122.1	IPR001680,IPR006594,IPR013720,IPR017986,IPR019775	protein AED:0.19 eAED:0.22 QI:0|0.63|0.6|0.95|1|1|20|1260|952
C2H2	transcription factor	Potra2n6c13144.1	IPR001841	protein AED:0.33 eAED:0.33 QI:0|0.68|0.52|1|1|1|17|0|1070
TIFY	transcription factor	Potra2n6c13126.1	IPR010399	protein AED:0.21 eAED:0.21 QI:748|0.66|0.57|1|1|0.85|7|755|420
TIFY	transcription factor	Potra2n6c13126.2	IPR010399	protein AED:0.01 eAED:0.00 QI:748|0.6|0.5|1|1|0.66|6|2945|335
MYB-HB-like	transcription factor	Potra2n9c19111.1	IPR001005,IPR009057,IPR017884	protein AED:0.19 eAED:0.19 QI:194|1|1|1|0.75|0.66|9|1223|1009
MYB/SANT	transcription factor	Potra2n9c19111.1	IPR001005,IPR009057,IPR017884	protein AED:0.19 eAED:0.19 QI:194|1|1|1|0.75|0.66|9|1223|1009
MYB-HB-like	transcription factor	Potra2n9c19111.2	IPR001005,IPR009057,IPR017884	protein AED:0.03 eAED:0.03 QI:194|1|1|1|0.85|0.75|8|3684|1009
MYB/SANT	transcription factor	Potra2n9c19111.2	IPR001005,IPR009057,IPR017884	protein AED:0.03 eAED:0.03 QI:194|1|1|1|0.85|0.75|8|3684|1009
MYB-HB-like	transcription factor	Potra2n9c19111.3	IPR001005,IPR009057,IPR017884	protein AED:0.22 eAED:0.22 QI:194|1|1|1|1|1|7|852|1009
MYB/SANT	transcription factor	Potra2n9c19111.3	IPR001005,IPR009057,IPR017884	protein AED:0.22 eAED:0.22 QI:194|1|1|1|1|1|7|852|1009
MYB-HB-like	transcription factor	Potra2n6c13175.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.29 eAED:0.31 QI:151|0.62|0.64|0.88|0.81|0.88|17|0|1438
MYB-HB-like	transcription factor	Potra2n6c13175.2	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.14 eAED:0.14 QI:513|1|1|1|0.76|0.64|14|1040|1026
MYB-HB-like	transcription factor	Potra2n6c13175.3	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.18 eAED:0.18 QI:513|1|1|1|0.76|0.64|14|516|1026
MYB-HB-like	transcription factor	Potra2n6c13175.4	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.18 eAED:0.18 QI:513|1|1|1|0.76|0.64|14|477|1026
MYB-HB-like	transcription factor	Potra2n6c13175.5	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.18 eAED:0.18 QI:513|1|1|1|0.76|0.64|14|464|1026
MYB-HB-like	transcription factor	Potra2n6c13175.6	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.15 eAED:0.15 QI:362|1|1|1|0.83|0.69|13|1040|1026
MYB-HB-like	transcription factor	Potra2n6c13175.7	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.19 eAED:0.19 QI:362|1|1|1|0.83|0.69|13|477|1026
MYB-HB-like	transcription factor	Potra2n6c13175.8	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.14 eAED:0.14 QI:362|1|1|1|0.90|0.83|12|1176|1026
MYB-HB-like	transcription factor	Potra2n6c13175.9	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.16 eAED:0.16 QI:151|1|1|1|0.90|0.83|12|1040|1026
MYB-HB-like	transcription factor	Potra2n6c13175.10	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.19 eAED:0.19 QI:151|1|1|1|0.9|0.72|11|1171|877
C2H2	transcription factor	Potra2n9c19131.1	IPR001841,IPR001878,IPR010666	protein AED:0.16 eAED:0.19 QI:72|0.6|0.54|1|0.8|0.63|11|959|1241
CCHC(Zn)	transcription factor interactor and regulator	Potra2n9c19131.1	IPR001841,IPR001878,IPR010666	protein AED:0.16 eAED:0.19 QI:72|0.6|0.54|1|0.8|0.63|11|959|1241
CCHC(Zn)	transcription factor interactor and regulator	Potra2n9c19131.2	IPR001878,IPR010666	protein AED:0.36 eAED:0.41 QI:156|0.71|0.62|1|0.57|0.5|8|0|598
Homobox-WOX	transcription factor	Potra2n6c13216.1	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.24 eAED:0.23 QI:467|0.94|0.95|1|0.89|0.8|20|270|849
HD-SAD	transcription factor & lipid binding	Potra2n6c13216.1	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.24 eAED:0.23 QI:467|0.94|0.95|1|0.89|0.8|20|270|849
Homobox-WOX	transcription factor	Potra2n6c13216.2	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.24 eAED:0.23 QI:452|0.94|0.95|1|0.89|0.8|20|270|849
HD-SAD	transcription factor & lipid binding	Potra2n6c13216.2	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.24 eAED:0.23 QI:452|0.94|0.95|1|0.89|0.8|20|270|849
Homobox-WOX	transcription factor	Potra2n6c13216.3	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.17 eAED:0.16 QI:467|0.94|0.94|1|0.94|0.89|19|1120|849
HD-SAD	transcription factor & lipid binding	Potra2n6c13216.3	IPR001356,IPR002913,IPR004827,IPR009057	protein AED:0.17 eAED:0.16 QI:467|0.94|0.94|1|0.94|0.89|19|1120|849
CCHC(Zn)	transcription factor interactor and regulator	Potra2n9c19131.3	IPR001878,IPR010666	protein AED:0.24 eAED:0.24 QI:156|1|1|1|0.4|0|6|2973|181
AP2-EREBP	transcription factor	Potra2n6c13204.1	IPR001471	protein AED:0.20 eAED:0.27 QI:523|0|0.5|1|0|0|2|0|273
C2C2-GATA	transcription factor	Potra2n6c13214.1	IPR000679,IPR016679	protein AED:0.03 eAED:0.03 QI:454|1|1|1|1|1|2|487|373
CCHC(Zn)	transcription factor interactor and regulator	Potra2n9c19131.5	IPR001878,IPR010666	protein AED:0.22 eAED:0.22 QI:156|1|1|1|0.25|0|5|3281|181
C2H2	transcription factor	Potra2n6c13196.1	IPR001680,IPR001841,IPR017986,IPR018957,IPR019775	protein AED:0.13 eAED:0.13 QI:0|1|0.5|1|0|0|2|0|874
WD40-like	transcription factor	Potra2n6c13196.1	IPR001680,IPR001841,IPR017986,IPR018957,IPR019775	protein AED:0.13 eAED:0.13 QI:0|1|0.5|1|0|0|2|0|874
C2H2	transcription factor	Potra2n6c13196.2	IPR001841,IPR018957	protein AED:0.33 eAED:0.34 QI:0|0|0|1|0|0|2|0|405
WD40-like	transcription factor	Potra2n6c13196.3	IPR001680,IPR017986	protein AED:0.25 eAED:0.25 QI:533|0|0.5|1|0|0.5|2|0|418
PHD	chromatin regulator	Potra2n6c13210.1	IPR001841,IPR001965	protein AED:0.41 eAED:0.41 QI:0|-1|1|1|-1|1|1|0|241
AUX-IAA	transcription factor interactor and regulator	Potra2n6c13227.1	IPR011525	protein AED:0.09 eAED:0.09 QI:393|1|1|1|0.6|0.5|6|1031|325
AUX-IAA	transcription factor interactor and regulator	Potra2n6c13227.2	IPR011525	protein AED:0.06 eAED:0.06 QI:546|1|1|1|0.75|0.8|5|1031|325
AUX-IAA	transcription factor interactor and regulator	Potra2n6c13227.3	IPR011525	protein AED:0.23 eAED:0.23 QI:546|0.75|0.6|1|0.75|0.6|5|0|340
MYB-HB-like	transcription factor	Potra2n6c13245.1	IPR001005,IPR009057,IPR015495,IPR017877,IPR017930	protein AED:0.18 eAED:0.18 QI:353|0.66|0.75|1|1|1|4|387|320
C3H	transcription factor	Potra2n6c13243.1	IPR000571	protein AED:0.30 eAED:0.30 QI:0|-1|0|1|-1|1|1|0|390
NAM	transcription factor	Potra2n6c13273.1	IPR003441	protein AED:0.36 eAED:0.36 QI:0|-1|0|1|-1|1|1|0|414
C2C2-GATA	transcription factor	Potra2n6c13297.1	IPR000679	protein AED:0.03 eAED:0.03 QI:943|1|1|1|1|1|2|365|232
WD40-like	transcription factor	Potra2n6c13275.1	IPR001680,IPR017986,IPR019775	protein AED:0.12 eAED:0.11 QI:396|0.8|0.75|0.93|0.86|0.75|16|957|589
WD40-like	transcription factor	Potra2n6c13275.2	IPR001680,IPR017986,IPR019775	protein AED:0.13 eAED:0.12 QI:396|0.86|0.87|0.93|0.93|0.87|16|957|567
WD40-like	transcription factor	Potra2n6c13275.4	IPR001680,IPR017986,IPR019775	protein AED:0.18 eAED:0.16 QI:396|0.85|0.86|0.93|0.85|0.73|15|850|502
WD40-like	transcription factor	Potra2n6c13275.5	IPR001680,IPR017986,IPR019775	protein AED:0.08 eAED:0.07 QI:530|0.84|0.85|0.92|1|0.92|14|1370|502
MYB-HB-like	transcription factor	Potra2n6c13282.1	IPR001005,IPR001878,IPR006447,IPR009057,IPR017930	protein AED:0.11 eAED:0.11 QI:182|1|1|1|1|1|3|483|239
Homobox-WOX	transcription factor	Potra2n6c13278.1	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.14 eAED:0.14 QI:1519|1|1|1|0.42|0.37|8|893|596
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13278.1	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.14 eAED:0.14 QI:1519|1|1|1|0.42|0.37|8|893|596
Homobox-WOX	transcription factor	Potra2n6c13278.3	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.17 eAED:0.17 QI:1519|1|1|1|0.5|0.57|7|519|596
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13278.3	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.17 eAED:0.17 QI:1519|1|1|1|0.5|0.57|7|519|596
Homobox-WOX	transcription factor	Potra2n6c13278.4	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.19 eAED:0.19 QI:917|1|1|1|0.5|0.42|7|893|596
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13278.4	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.19 eAED:0.19 QI:917|1|1|1|0.5|0.42|7|893|596
Homobox-WOX	transcription factor	Potra2n6c13278.6	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.24 eAED:0.24 QI:712|1|1|1|0.6|0.66|6|519|596
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13278.6	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.24 eAED:0.24 QI:712|1|1|1|0.6|0.66|6|519|596
Homobox-WOX	transcription factor	Potra2n6c13278.7	IPR001356,IPR008422,IPR009057	protein AED:0.47 eAED:0.43 QI:0|1|0.5|1|1|1|2|519|93
Homeodomain-TALE-KNOX	transcription factor	Potra2n6c13278.7	IPR001356,IPR008422,IPR009057	protein AED:0.47 eAED:0.43 QI:0|1|0.5|1|1|1|2|519|93
HSF-type-DNA-binding	transcription factor	Potra2n6c13324.2	IPR000232	protein AED:0.24 eAED:0.24 QI:372|1|1|1|0.25|0.4|5|805|388
HSF-type-DNA-binding	transcription factor	Potra2n6c13324.3	IPR000232	protein AED:0.11 eAED:0.11 QI:372|1|1|1|0.33|0.25|4|1957|377
HSF-type-DNA-binding	transcription factor	Potra2n6c13324.5	IPR000232	protein AED:0.29 eAED:0.29 QI:372|1|1|1|0.5|1|3|373|388
AS2-LOB	transcription factor	Potra2n6c13312.1	IPR004883	protein AED:0.09 eAED:0.09 QI:0|-1|0|1|-1|1|1|0|304
WRKY	transcription factor	Potra2n6c13344.1	IPR003657	protein AED:0.13 eAED:0.13 QI:272|1|1|1|1|1|3|432|165
C2H2	transcription factor	Potra2n6c13318.1	IPR007087,IPR015880	protein AED:0.14 eAED:0.14 QI:809|1|0.66|1|1|1|3|0|525
MYB-HB-like	transcription factor	Potra2n6c13368.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.12 eAED:0.12 QI:0|0.5|0.66|1|1|1|3|701|271
MYB-HB-like	transcription factor	Potra2n6c13368.2	IPR001005,IPR009057,IPR015495,IPR017877,IPR017930	protein AED:0.04 eAED:0.04 QI:433|1|1|1|1|1|2|701|231
RR-A-type	response regulator and putative novel transcription factor	Potra2n268s35171.1	IPR001789	protein AED:0.24 eAED:0.24 QI:3720|1|1|1|0.5|0.38|13|1499|295
C2H2	transcription factor	Potra2n9c19249.1	IPR001841	protein AED:0.13 eAED:0.13 QI:304|1|1|1|0.63|0.58|12|1510|1109
C2H2	transcription factor	Potra2n9c19249.2	IPR001841	protein AED:0.20 eAED:0.20 QI:304|1|1|1|0.87|0.88|9|523|1109
MYB	transcription factor	Potra2n6c13369.1	IPR001005,IPR017877	protein AED:0.03 eAED:0.03 QI:301|1|1|1|0.5|0.33|3|838|618
MYB	transcription factor	Potra2n6c13369.2	IPR001005,IPR017877	protein AED:0.02 eAED:0.02 QI:301|1|1|1|1|1|2|950|618
Nin-like	transcription factor	Potra2n6c13354.1	IPR003035	protein AED:0.02 eAED:0.02 QI:68|0.8|0.83|1|1|1|6|43|381
MYB-HB-like	transcription factor	Potra2n6c13365.1	IPR001005,IPR009057,IPR015495,IPR017930	protein AED:0.07 eAED:0.07 QI:211|1|1|1|1|1|3|439|296
MYB-HB-like	transcription factor	Potra2n6c13371.1	IPR001005,IPR009057,IPR015495,IPR017877,IPR017930	protein AED:0.15 eAED:0.15 QI:311|0.5|0.33|1|0.5|0.66|3|0|223
C2H2	transcription factor	Potra2n6c13363.1	IPR001841,IPR017907,IPR018957	protein AED:0.31 eAED:0.31 QI:199|0.93|0.93|1|1|1|16|612|622
PHD	chromatin regulator	Potra2n6c13351.1	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.35 eAED:0.35 QI:448|1|1|1|0.66|0.42|7|1007|253
PHD	chromatin regulator	Potra2n6c13351.2	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.33 eAED:0.33 QI:448|1|1|1|0.8|0.66|6|1277|253
PHD	chromatin regulator	Potra2n6c13351.3	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.37 eAED:0.37 QI:198|1|1|1|0.8|0.66|6|1007|253
PHD	chromatin regulator	Potra2n6c13351.4	IPR001841,IPR001965,IPR011011,IPR019786,IPR019787	protein AED:0.35 eAED:0.35 QI:198|1|1|1|1|1|5|1277|253
bZIP	transcription factor	Potra2n9c19233.1	IPR004827,IPR011616,IPR011700	protein AED:0.19 eAED:0.19 QI:1313|0.5|0.8|1|0.25|0.2|5|419|474
C2H2	transcription factor	Potra2n6c13410.1	IPR001841,IPR018957	protein AED:0.36 eAED:0.36 QI:171|-1|0|1|-1|1|1|0|168
bZIP	transcription factor	Potra2n9c19233.2	IPR004827,IPR011616,IPR011700	protein AED:0.20 eAED:0.20 QI:1313|1|1|1|0.25|0.4|5|419|423
bZIP	transcription factor	Potra2n9c19233.3	IPR004827,IPR011616,IPR011700	protein AED:0.31 eAED:0.31 QI:206|1|1|1|0.25|0.4|5|444|423
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c13427.1	IPR001878	protein AED:0.15 eAED:0.15 QI:0|0.90|0.91|1|0.81|0.66|12|3655|1016
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c13427.3	IPR001878	protein AED:0.14 eAED:0.14 QI:0|0.9|0.90|1|0.9|0.72|11|3765|1016
bZIP	transcription factor	Potra2n9c19233.4	IPR004827,IPR011616,IPR011700	protein AED:0.20 eAED:0.20 QI:1313|1|1|1|0.33|0.75|4|444|423
C2H2	transcription factor	Potra2n6c13418.2	IPR001841	protein AED:0.44 eAED:0.44 QI:0|0|0|1|0|0|2|0|323
PHD	chromatin regulator	Potra2n6c13409.1	IPR000306,IPR002110,IPR011011	protein AED:0.14 eAED:0.14 QI:257|1|1|1|0.77|0.9|10|1292|294
C2H2	transcription factor	Potra2n6c13393.1	IPR001841	protein AED:0.00 eAED:0.00 QI:0|-1|1|1|-1|1|1|0|313
C2H2	transcription factor	Potra2n6c13404.3	IPR001841,IPR018957	protein AED:0.02 eAED:0.02 QI:371|1|1|1|1|0.8|10|5040|307
TIFY	transcription factor	Potra2n6c13407.1	IPR010399	protein AED:0.27 eAED:0.27 QI:360|0.5|0.66|1|0.5|0.55|9|408|358
AP2-EREBP	transcription factor	Potra2n6c13400.1	IPR001471	protein AED:0.29 eAED:0.29 QI:0|-1|0|1|-1|1|1|0|206
E2F-DP	transcription factor	Potra2n6c13528.1	IPR003316,IPR015633	protein AED:0.07 eAED:0.07 QI:455|1|1|1|0.86|0.75|16|949|457
E2F-DP	transcription factor	Potra2n6c13528.2	IPR003316,IPR015633	protein AED:0.05 eAED:0.05 QI:455|1|1|1|0.92|0.86|15|1100|457
TCP	transcription factor	Potra2n6c13505.1	IPR005333	protein AED:0.10 eAED:0.10 QI:376|0.66|0.57|1|0.33|0.28|7|939|485
TCP	transcription factor	Potra2n6c13505.2	IPR005333	protein AED:0.12 eAED:0.12 QI:376|0.83|0.85|1|0.5|0.57|7|939|424
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c13520.1	IPR001878	protein AED:0.38 eAED:0.44 QI:0|0|0|1|0|0|2|0|405
NAM	transcription factor	Potra2n6c13489.1	IPR003441	protein AED:0.15 eAED:0.15 QI:301|1|1|1|1|1|3|358|265
C2H2	transcription factor	Potra2n9c19243.1	IPR001841,IPR018957	protein AED:0.23 eAED:0.23 QI:984|0.83|0.85|1|0.33|0.42|7|446|739
C2H2	transcription factor	Potra2n9c19243.2	IPR001841,IPR018957	protein AED:0.23 eAED:0.23 QI:905|0.83|0.85|1|0.33|0.42|7|446|739
C2H2	transcription factor	Potra2n9c19243.3	IPR001841,IPR018957	protein AED:0.27 eAED:0.27 QI:439|0.83|0.85|1|0.33|0.57|7|446|739
C2H2	transcription factor	Potra2n9c19243.4	IPR001841,IPR018957	protein AED:0.05 eAED:0.05 QI:5341|1|1|1|0.25|0.2|5|446|98
WD40-like	transcription factor	Potra2n6c13491.1	IPR001680,IPR017986,IPR019775	protein AED:0.20 eAED:0.20 QI:489|1|1|1|0|0|2|542|342
B3-Domain	transcription factor	Potra2n6c13502.1	IPR003340	protein AED:0.35 eAED:0.35 QI:364|0.25|0.2|0.8|0.25|0.2|5|0|406
B3-Domain	transcription factor	Potra2n6c13502.2	IPR003340	protein AED:0.29 eAED:0.29 QI:364|0.66|0.75|1|0.33|0.25|4|472|375
B3-Domain	transcription factor	Potra2n6c13502.3	IPR003340	protein AED:0.30 eAED:0.30 QI:364|0.5|0.66|1|0.5|0.66|3|427|375
B3-Domain	transcription factor	Potra2n6c13502.4	IPR003340	protein AED:0.37 eAED:0.37 QI:364|0.5|0.66|0.66|0.5|0.66|3|0|363
PHD	chromatin regulator	Potra2n6c13480.1	IPR001965	protein AED:0.33 eAED:0.33 QI:298|1|1|1|0.62|0.66|9|1105|315
PHD	chromatin regulator	Potra2n6c13480.2	IPR001965	protein AED:0.37 eAED:0.37 QI:298|1|1|1|0.71|0.87|8|538|315
bHLH	transcription factor	Potra2n6c13561.1	IPR011598	protein AED:0.04 eAED:0.04 QI:247|1|1|1|0.66|0.5|4|388|459
Homobox-WOX	transcription factor	Potra2n6c13552.1	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.23 eAED:0.23 QI:1669|1|1|1|0.6|0.5|6|1080|678
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13552.1	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.23 eAED:0.23 QI:1669|1|1|1|0.6|0.5|6|1080|678
Homobox-WOX	transcription factor	Potra2n6c13552.2	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.30 eAED:0.30 QI:488|1|1|1|0.6|0.5|6|1080|678
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13552.2	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.30 eAED:0.30 QI:488|1|1|1|0.6|0.5|6|1080|678
Homobox-WOX	transcription factor	Potra2n6c13552.3	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.22 eAED:0.22 QI:1810|1|1|1|0.75|0.6|5|1080|678
Homeodomain-TALE-BEL	transcription factor	Potra2n6c13552.3	IPR001356,IPR006563,IPR008422,IPR009057	protein AED:0.22 eAED:0.22 QI:1810|1|1|1|0.75|0.6|5|1080|678
Hap2/NF-YA	transcription factor	Potra2n6c13562.1	IPR001289	protein AED:0.16 eAED:0.16 QI:0|0.77|0.7|1|0.66|0.7|10|2278|351
C2C2-Dof	transcription factor	Potra2n6c13557.1	IPR003851	protein AED:0.09 eAED:0.09 QI:0|-1|1|1|-1|1|1|0|288
BTB-POZ	chromatin remodeling & transcription regulator	Potra2n6c13553.1	IPR000210,IPR011333	protein AED:0.40 eAED:0.48 QI:0|0|0|1|0|0.25|4|0|237
BTB-POZ	chromatin remodeling & transcription regulator	Potra2n6c13553.2	IPR000210,IPR011333	protein AED:0.27 eAED:0.27 QI:385|0.66|0.75|0.75|0|0|4|0|432
BTB-POZ	chromatin remodeling & transcription regulator	Potra2n6c13553.3	IPR000210,IPR011333	protein AED:0.30 eAED:0.30 QI:184|0.66|0.75|0.75|0|0|4|0|432
MADS-type1	transcription factor	Potra2n6c13564.1	IPR002100	protein AED:0.02 eAED:0.02 QI:0|-1|0|1|-1|1|1|0|471
C2H2	transcription factor	Potra2n6c13566.1	IPR001841,IPR018957	protein AED:0.24 eAED:0.24 QI:0|-1|1|1|-1|1|1|0|167
C2H2	transcription factor	Potra2n6c13579.1	IPR001841,IPR018957	protein AED:0.16 eAED:0.16 QI:582|1|1|1|0.75|0.88|9|491|403
C2H2	transcription factor	Potra2n6c13579.2	IPR001841,IPR018957	protein AED:0.24 eAED:0.24 QI:0|0.87|0.88|1|0.87|0.77|9|498|405
C2H2	transcription factor	Potra2n6c13579.3	IPR001841,IPR018957	protein AED:0.10 eAED:0.10 QI:582|1|1|1|0.85|1|8|886|403
C2H2	transcription factor	Potra2n6c13599.1	IPR001841,IPR017907,IPR018957	protein AED:0.11 eAED:0.11 QI:435|1|1|1|0.66|0.42|7|561|339
C2H2	transcription factor	Potra2n6c13599.2	IPR001841,IPR017907,IPR018957	protein AED:0.10 eAED:0.10 QI:435|1|1|1|0.8|0.66|6|625|339
SET	chromatin remodeling	Potra2n6c13616.1	IPR001214	protein AED:0.36 eAED:0.36 QI:105|1|1|1|0.62|0.66|9|447|326
SET	chromatin remodeling	Potra2n6c13616.2	IPR001214	protein AED:0.36 eAED:0.36 QI:105|1|1|1|0.71|0.75|8|469|326
SET	chromatin remodeling	Potra2n6c13616.3	IPR001214	protein AED:0.36 eAED:0.36 QI:105|1|0.87|1|0.71|0.75|8|423|326
SET	chromatin remodeling	Potra2n6c13616.4	IPR001214	protein AED:0.36 eAED:0.36 QI:105|1|1|1|0.83|1|7|443|326
C2H2	transcription factor	Potra2n6c13628.1	IPR007087,IPR015880	protein AED:0.28 eAED:0.28 QI:0|-1|1|1|-1|1|1|363|225
CCHC(Zn)	transcription factor interactor and regulator	Potra2n6c13609.1	IPR001878	protein AED:0.44 eAED:0.84 QI:0|0|0|1|0|0.5|2|0|553
C2H2	transcription factor	Potra2n6c13639.1	IPR001841	protein AED:0.31 eAED:0.31 QI:312|0.5|0.6|1|0.25|0.4|5|0|336
C2H2	transcription factor	Potra2n6c13639.2	IPR001841	protein AED:0.31 eAED:0.31 QI:374|0.75|0.6|1|0.25|0.2|5|0|315
C2H2	transcription factor	Potra2n6c13639.3	IPR001841	protein AED:0.23 eAED:0.23 QI:729|0.66|0.5|1|0.66|0.75|4|0|367
C2H2	transcription factor	Potra2n6c13634.1	IPR007087,IPR015880	protein AED:0.05 eAED:0.05 QI:0|-1|0|1|-1|1|1|0|261
Homobox-WOX	transcription factor	Potra2n6c13644.1	IPR001356,IPR009057	protein AED:0.10 eAED:0.10 QI:388|0.66|0.75|1|0.66|0.5|4|337|291
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n6c13649.1	IPR014977	protein AED:0.20 eAED:0.20 QI:0|0.75|0.6|1|0.75|0.8|5|296|352
C3H-WRC/GRF	transcription factor interactor and regulator	Potra2n6c13649.2	IPR014977	protein AED:0.20 eAED:0.20 QI:0|0.75|0.8|1|0.75|0.8|5|296|345
C2H2	transcription factor	Potra2n6c13646.1	IPR001841,IPR013083,IPR017907,IPR018957	protein AED:0.31 eAED:0.31 QI:0|-1|0|1|-1|1|1|0|447
MYB-HB-like	transcription factor	Potra2n6c13667.1	IPR001005,IPR006447,IPR009057,IPR017930	protein AED:0.08 eAED:0.08 QI:398|1|1|1|0.85|0.75|8|1146|411
